WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,86749940.0,11112.79627050959,4513385.0,802225.0,1890342.0,242.155620252736,77800.0,14654.0,
United States of America,Americas,21170475.0,63958.63,1592258.0,299562.0,358111.0,1081.9,18561.0,3825.0,Community transmission
India,South-East Asia,10413417.0,7545.93,126708.0,18139.0,150570.0,109.11,1576.0,234.0,Clusters of cases
Brazil,Americas,7873830.0,37042.96,254630.0,63430.0,198974.0,936.09,5099.0,1242.0,Community transmission
Russian Federation,Europe,3355794.0,22995.21,169458.0,23652.0,60911.0,417.39,3356.0,454.0,Clusters of cases
The United Kingdom,Europe,2889423.0,42562.86,400639.0,52618.0,78508.0,1156.47,4996.0,1162.0,Community transmission
France,Europe,2682250.0,41092.47,105830.0,21510.0,66460.0,1018.18,2206.0,276.0,Community transmission
Italy,Europe,2220361.0,36723.35,113195.0,18416.0,77291.0,1278.34,3132.0,414.0,Clusters of cases
Spain,Europe,2024904.0,43309.03,76578.0,6470.0,51675.0,1105.23,544.0,24.0,Community transmission
Germany,Europe,1866887.0,22282.16,124226.0,31849.0,38795.0,463.04,5171.0,1188.0,Community transmission
Colombia,Americas,1719771.0,33798.61,93310.0,16805.0,44723.0,878.94,1814.0,295.0,Community transmission
Argentina,Americas,1676171.0,37086.9,62243.0,13441.0,43976.0,973.01,813.0,191.0,Community transmission
Turkey,Europe,1481764.0,17569.13,87450.0,12171.0,22264.0,263.98,1383.0,194.0,Community transmission
Mexico,Americas,1479835.0,11477.57,65900.0,13345.0,129987.0,1008.18,5090.0,1165.0,Community transmission
Poland,Europe,1365645.0,36083.68,59871.0,8763.0,30574.0,807.84,1618.0,333.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1268263.0,15099.64,43120.0,6360.0,55933.0,665.92,710.0,103.0,Community transmission
South Africa,Africa,1149591.0,19383.18,110430.0,21832.0,31368.0,528.89,3335.0,844.0,Community transmission
Ukraine,Europe,1105169.0,25270.38,40690.0,5676.0,19588.0,447.89,908.0,83.0,Community transmission
Peru,Americas,1024432.0,31069.89,11818.0,2414.0,37991.0,1152.23,370.0,66.0,Community transmission
Netherlands,Europe,850790.0,49652.54,54117.0,9737.0,12084.0,705.23,660.0,85.0,Community transmission
Czechia,Europe,809601.0,75600.19,77579.0,14861.0,12800.0,1195.26,1089.0,179.0,Community transmission
Indonesia,South-East Asia,797723.0,2916.47,54525.0,9321.0,23520.0,85.99,1382.0,224.0,Community transmission
Romania,Europe,658958.0,34253.49,26695.0,4951.0,16410.0,853.01,643.0,111.0,Community transmission
Belgium,Europe,658655.0,56831.44,9580.0,3.0,19936.0,1720.16,317.0,8.0,Community transmission
Chile,Americas,629176.0,32913.23,20203.0,3693.0,16913.0,884.75,305.0,97.0,Community transmission
Canada,Americas,626799.0,16607.4,53817.0,8153.0,16369.0,433.71,897.0,136.0,Community transmission
Iraq,Eastern Mediterranean,600755.0,14935.8,5464.0,790.0,12869.0,319.95,56.0,4.0,Community transmission
Bangladesh,South-East Asia,519905.0,3156.88,6395.0,1007.0,7718.0,46.86,159.0,31.0,Community transmission
Pakistan,Eastern Mediterranean,495075.0,2241.25,15360.0,2481.0,10511.0,47.58,406.0,50.0,Clusters of cases
Sweden,Europe,482284.0,47754.37,34434.0,4931.0,9262.0,917.1,87.0,2.0,Community transmission
Philippines,Western Pacific,482083.0,4399.33,8019.0,1346.0,9356.0,85.38,112.0,9.0,Community transmission
Switzerland,Europe,472391.0,54582.51,22316.0,3964.0,7474.0,863.58,425.0,74.0,Community transmission
Israel,Europe,457721.0,52881.88,37943.0,0.0,3503.0,404.71,183.0,0.0,Community transmission
Portugal,Europe,456533.0,44772.58,42855.0,9927.0,7472.0,732.79,566.0,95.0,Clusters of cases
Morocco,Eastern Mediterranean,448678.0,12155.82,9485.0,1597.0,7645.0,207.12,257.0,27.0,Clusters of cases
Austria,Europe,373663.0,41488.62,14301.0,2006.0,6504.0,722.15,373.0,50.0,Community transmission
Saudi Arabia,Eastern Mediterranean,363485.0,10440.81,744.0,108.0,6278.0,180.33,55.0,6.0,Sporadic cases
Serbia,Europe,353907.0,50821.22,15984.0,1787.0,3479.0,499.59,268.0,35.0,Community transmission
Hungary,Europe,337743.0,34961.77,12465.0,2907.0,10440.0,1080.71,773.0,115.0,Community transmission
Jordan,Eastern Mediterranean,304071.0,29801.73,9577.0,1215.0,3968.0,388.9,134.0,13.0,Community transmission
Japan,Western Pacific,265299.0,2097.62,30904.0,6906.0,3857.0,30.5,397.0,66.0,Clusters of cases
Panama,Americas,264956.0,61406.79,22212.0,5186.0,4283.0,992.64,308.0,45.0,Community transmission
Nepal,South-East Asia,263605.0,9047.15,3012.0,412.0,1903.0,65.31,47.0,4.0,Clusters of cases
Georgia,Europe,236028.0,59167.24,7618.0,537.0,2728.0,683.85,200.0,34.0,Community transmission
Azerbaijan,Europe,222885.0,21982.55,4185.0,685.0,2845.0,280.59,204.0,27.0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,221754.0,22421.13,13932.0,2988.0,694.0,70.17,25.0,5.0,Community transmission
Ecuador,Americas,218385.0,12377.96,5873.0,1008.0,14158.0,802.47,124.0,12.0,Community transmission
